Time (s),Temperature (°C),Current (A),Vibration,AI Alert
0,52.47,197.17,665.21,
1,87.04,167.84,727.26,Check bearing lubrication
2,73.92,307.18,322.6,
3,65.92,189.19,177.04,
4,39.36,170.23,259.55,
5,39.36,235.67,398.98,
6,33.49,135.23,672.61,
7,81.97,300.55,702.51,Check bearing lubrication
8,66.07,118.64,104.87,
9,72.48,346.72,457.52,
10,31.24,293.06,392.19,
11,88.19,149.68,255.48,
12,79.95,101.38,183.91,
13,42.74,303.87,336.33,Possible overload – inspect motor load
14,40.91,276.71,760.04,Check shaft alignment
15,41.0,282.25,326.24,
16,48.25,292.82,463.15,
17,61.49,118.51,592.11,
18,55.92,189.62,354.54,
19,47.47,128.97,780.25,Check shaft alignment
20,66.71,315.78,773.71,Check shaft alignment
21,38.37,255.82,276.25,
22,47.53,182.72,448.07,
23,51.98,115.89,310.61,
24,57.36,177.75,299.39,
25,77.11,181.3,125.82,
26,41.98,282.4,526.7,
27,60.85,259.39,451.88,
28,65.54,321.8,136.04,
29,32.79,218.05,295.05,
30,66.45,129.9,735.79,Check shaft alignment
31,40.23,278.31,267.69,
32,33.9,290.2,201.43,
33,86.93,240.32,442.62,
34,87.94,292.74,789.96,Check bearing lubrication
35,78.5,223.45,269.44,
36,48.28,230.68,570.49,
37,35.86,206.89,633.13,
38,71.05,106.35,266.35,
39,56.41,126.97,609.75,
40,37.32,107.86,357.45,
41,59.71,259.1,542.61,
42,32.06,178.59,543.47,
43,84.56,227.14,475.04,
44,45.53,326.89,163.2,Possible overload – inspect motor load
45,69.75,162.32,684.71,
46,48.7,202.6,324.55,
47,61.2,288.89,230.56,
48,62.8,157.2,128.54,
49,41.09,119.24,513.63,
50,88.18,172.44,574.3,Check bearing lubrication
51,76.51,140.31,111.61,
52,86.37,332.42,458.47,
53,83.69,302.03,258.55,
54,65.87,258.35,551.62,
55,85.31,317.87,222.06,
56,35.31,300.92,583.66,Possible overload – inspect motor load
57,41.76,146.64,370.71,
58,32.71,323.14,755.71,Possible overload – inspect motor load
59,49.52,234.84,196.26,